,id,symbol,name
0,01coin,zoc,01coin
1,0-5x-long-algorand-token,algohalf,0.5X Long Algorand Token
2,0-5x-long-altcoin-index-token,althalf,0.5X Long Altcoin Index Token
3,0-5x-long-balancer-token,balhalf,0.5X Long Balancer Token
4,0-5x-long-bilibra-token,trybhalf,0.5X Long BiLira Token
5,0-5x-long-bitcoin-cash-token,bchhalf,0.5X Long Bitcoin Cash Token
6,0-5x-long-bitcoin-sv-token,bsvhalf,0.5X Long Bitcoin SV Token
7,0-5x-long-bitcoin-token,half,0.5X Long Bitcoin Token
8,0-5x-long-bitmax-token-token,btmxhalf,0.5X Long BitMax Token Token
9,0-5x-long-bnb-token,bnbhalf,0.5X Long BNB Token
10,0-5x-long-cardano-token,adahalf,0.5X Long Cardano Token
11,0-5x-long-chainlink-token,linkhalf,0.5X Long Chainlink Token
12,0-5x-long-compound-usdt-token,cusdthalf,0.5X Long Compound USDT Token
13,0-5x-long-cosmos-token,atomhalf,0.5X Long Cosmos Token
14,0-5x-long-defi-index-token,defihalf,0.5X Long DeFi Index Token
15,0-5x-long-dogecoin-token,dogehalf,0.5X Long Dogecoin Token
16,0-5x-long-dragon-index-token,drgnhalf,0.5X Long Dragon Index Token
17,0-5x-long-echange-token-index-token,exchhalf,0.5X Long Exchange Token Index Token
18,0-5x-long-eos-token,eoshalf,0.5X Long EOS Token
19,0-5x-long-ethereum-classic-token,etchalf,0.5X Long Ethereum Classic Token
20,0-5x-long-ethereum-token,ethhalf,0.5X Long Ethereum Token
21,0-5x-long-huobi-token-token,hthalf,0.5X Long Huobi Token Token
22,0-5x-long-kyber-network-token,knchalf,0.5X Long Kyber Network Token
23,0-5x-long-leo-token,leohalf,0.5X Long LEO Token
24,0-5x-long-litecoin-token,ltchalf,0.5X Long Litecoin Token
25,0-5x-long-matic-token,matichalf,0.5X Long Matic Token
26,0-5x-long-midcap-index-token,midhalf,0.5X Long Midcap Index Token
27,0-5x-long-okb-token,OKBHALF,0.5X Long OKB Token
28,0-5x-long-pax-gold-token,PAXGHALF,0.5X Long PAX Gold Token
29,0-5x-long-privacy-index-token,privhalf,0.5X Long Privacy Index Token
30,0-5x-long-shitcoin-index-token,halfshit,0.5X Long Shitcoin Index Token
31,0-5x-long-swipe-token,sxphalf,0.5X Long Swipe Token
32,0-5x-long-tether-gold-token,xauthalf,0.5X Long Tether Gold Token
33,0-5x-long-tether-token,usdthalf,0.5X Long Tether Token
34,0-5x-long-tezos-token,xtzhalf,0.5X Long Tezos Token
35,0-5x-long-theta-network-token,thetahalf,0.5X Long Theta Network Token
36,0-5x-long-tomochain-token,tomohalf,0.5X Long TomoChain Token
37,0-5x-long-trx-token,trxhalf,0.5X Long TRX Token
38,0-5x-long-xrp-token,xrphalf,0.5X Long XRP Token
39,0cash,zch,0cash
40,0chain,zcn,0chain
41,0x,zrx,0x
42,0xcert,zxc,0xcert
43,0xkojo,0xk,0xKOJO
44,0xmonero,0xmr,0xMonero
45,0xzar,xzar,0xZAR
46,100-waves-eth-btc-set,100wratio,100 Waves ETH/BTC Set
47,100-waves-ethusd-ether-hoard-set,100weth,100 Waves ETH/USD Ether Hoard Set
48,100-waves-eth-usd-yield-set,100w,100 Waves ETH/USD Yield Set
49,12h-ichimoku-ha-ema-breakout-set,ichiema,12H Ichimoku HA EMA Breakout Set
50,12ships,TSHP,12Ships
51,1337,1337,Elite
52,15634-liberal-st-detroit-mi-48205,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,RealToken 15634 Liberal St Detroit MI
53,18900-mansfield-st-detroit-mi-48235,REALTOKEN-18900-MANSFIELD-ST-DETROIT-MI,RealToken 18900 Mansfield St Detroit MI
54,1ai,1ai,1AI
55,1clicktoken,1ct,1ClickToken
56,1irstcoin,fst,1irstcoin
57,1million-token,1mt,1Million Token
58,1world,1wo,1World
59,1x2-coin,1x2,1X2 Coin
60,1x-long-btc-implied-volatility-token,bvol,Bitcoin Volatility Token
61,1x-short-algorand-token,algohedge,1X Short Algorand Token
62,1x-short-altcoin-index-token,althedge,1X Short Altcoin Index Token
63,1x-short-bitcoin-cash-token,bchhedge,1X Short Bitcoin Cash Token
64,1x-short-bitcoin-sv-token,bsvhedge,1X Short Bitcoin SV Token
65,1x-short-bitcoin-token,hedge,1X Short Bitcoin Token
66,1x-short-bitmax-token-token,btmxhedge,1X Short BitMax Token Token
67,1x-short-bnb-token,bnbhedge,1X Short BNB Token
68,1x-short-btc-implied-volatility,ibvol,Inverse Bitcoin Volatility Token
69,1x-short-cardano-token,adahedge,1X Short Cardano Token
70,1x-short-chainlink-token,LINKHEDGE,1X Short Chainlink Token
71,1x-short-compound-token-token,comphedge,1X Short Compound Token Token
72,1x-short-compound-usdt-token,cusdthedge,1X Short Compound USDT Token
73,1x-short-cosmos-token,atomhedge,1X Short Cosmos Token
74,1x-short-defi-index-token,defihedge,1X Short DeFi Index Token
75,1x-short-dogecoin-token,dogehedge,1X Short Dogecoin Token
76,1x-short-dragon-index-token,drgnhedge,1X Short Dragon Index Token
77,1x-short-eos-token,eoshedge,1X Short EOS Token
78,1x-short-ethereum-classic-token,etchedge,1X Short Ethereum Classic Token
79,1x-short-ethereum-token,ethhedge,1X Short Ethereum Token
80,1x-short-exchange-token-index-token,exchhedge,1X Short Exchange Token Index Token
81,1x-short-huobi-token-token,hthedge,1X Short Huobi Token Token
82,1x-short-kyber-network-token,knchedge,1X Short Kyber Network Token
83,1x-short-leo-token,leohedge,1X Short LEO Token
84,1x-short-litecoin-token,ltchedge,1X Short Litecoin Token
85,1x-short-matic-token,matichedge,1X Short Matic Token
86,1x-short-midcap-index-token,midhedge,1X Short Midcap Index Token
87,1x-short-okb-token,okbhedge,1X Short OKB Token
88,1x-short-privacy-index-token,privhedge,1X Short Privacy Index Token
89,1x-short-shitcoin-index-token,hedgeshit,1X Short Shitcoin Index Token
90,1x-short-swipe-token,sxphedge,1X Short Swipe Token
91,1x-short-tether-gold-token,xauthedge,1X Short Tether Gold Token
92,1x-short-tether-token,usdthedge,1X Short Tether Token
93,1x-short-tezos-token,xtzhedge,1X Short Tezos Token
